job_id,role,company,skills,experience_required,location,job_description
1,AI Engineer,NextGen AI,"Python,Machine Learning,FastAPI,LLM,RAG,APIs,JSON,SQL",0-2,Remote,"Build AI applications using Python, machine learning models, APIs, LLMs, vector databases, RAG pipelines, and FastAPI."
2,Machine Learning Intern,DataLabs,"Python,Pandas,NumPy,Scikit-learn,Machine Learning,SQL",0-1,Remote,"Prepare datasets, perform EDA, train machine learning models, evaluate results, and document findings."
3,GenAI Engineer,PromptForge,"Python,LLM,RAG,LangChain,FastAPI,Vector Database,JSON",0-2,Remote,"Build GenAI assistants using LLM APIs, LangChain, embeddings, vector databases, RAG, structured outputs, and FastAPI."
4,AI Automation Engineer,AutoFlow AI,"Python,APIs,JSON,FastAPI,LLM,Automation,SQL",0-2,Hyderabad,"Create automation tools using Python, APIs, JSON workflows, FastAPI services, and LLM-powered assistants."
5,Data Analyst,ABC Tech,"Python,SQL,Excel,Pandas,Power BI,Dashboard",0-2,Hyderabad,"Analyze business data, create dashboards, write SQL queries, automate reports using Python, pandas, Excel, and Power BI."
6,Junior Data Scientist,InsightWorks,"Python,Pandas,NumPy,Scikit-learn,Machine Learning,Matplotlib,SQL",0-2,Bangalore,"Clean datasets, build classification and regression models, evaluate accuracy and F1-score, and create visual reports."
7,ML Engineer,VisionStack,"Python,Machine Learning,Scikit-learn,FastAPI,Docker,SQL",0-2,Remote,"Develop and deploy machine learning models using Python, Scikit-learn, FastAPI, Docker, and SQL databases."
8,RAG Developer,KnowledgeBot,"Python,LLM,RAG,LangChain,ChromaDB,Embeddings,FastAPI",0-2,Remote,"Build document question-answering systems with chunking, embeddings, ChromaDB, LangChain, RAG evaluation, and FastAPI."
9,AI Support Engineer,HelpDesk AI,"Python,LLM,APIs,JSON,FastAPI,Customer Support",0-2,Hyderabad,"Develop AI support tools, integrate LLM APIs, process JSON responses, create internal dashboards, and improve support workflows."
10,Data Operations Analyst,DataBridge,"Python,SQL,Excel,Pandas,Power BI,Data Cleaning",0-2,Hyderabad,"Clean operational data, perform SQL analysis, prepare Excel reports, build dashboards, and automate recurring reporting tasks."
11,AI Research Intern,ModelCraft,"Python,Machine Learning,Deep Learning,NumPy,Pandas,PyTorch",0-1,Remote,"Assist with machine learning experiments, data preparation, model testing, evaluation, and technical documentation."
12,Backend AI Engineer,CloudLogic,"Python,FastAPI,APIs,JSON,PostgreSQL,LLM,RAG",0-2,Bangalore,"Build backend AI services using Python, FastAPI, PostgreSQL, LLM APIs, JSON schemas, and RAG workflows."
13,Automation Engineer,AutoFlow,"Python,APIs,JSON,SQL,FastAPI,Automation",0-2,Bangalore,"Build automation scripts, process JSON data, work with APIs, create internal tools, and develop FastAPI services."
14,AI Data Analyst,MetricMind,"Python,SQL,Pandas,Machine Learning,Matplotlib,Power BI",0-2,Remote,"Analyze AI product data, create dashboards, perform EDA, build simple prediction models, and communicate insights."
15,LLM Application Developer,AgentWorks,"Python,LLM,Prompt Engineering,RAG,LangChain,FastAPI,JSON",0-2,Remote,"Build LLM-powered applications with prompt engineering, structured JSON outputs, RAG retrieval, LangChain, and FastAPI."
16,Frontend Developer,WebSpark,"HTML,CSS,JavaScript,React,Git,GitHub",0-2,Hyderabad,"Develop responsive user interfaces using React, HTML, CSS, JavaScript, Git, and GitHub."
17,Python Developer,ScriptNest,"Python,APIs,JSON,SQL,FastAPI,Git",0-2,Hyderabad,"Develop Python applications, connect APIs, process JSON data, write SQL queries, and build backend services using FastAPI."
18,AI Product Intern,BuildMind,"Python,Machine Learning,LLM,APIs,Data Analysis,Streamlit",0-1,Remote,"Support AI product prototyping, data analysis, LLM experiments, dashboard development, API testing, and Streamlit demos."
19,ML Ops Intern,DeployAI,"Python,Machine Learning,Docker,FastAPI,Git,GitHub",0-1,Bangalore,"Support machine learning deployment, API packaging, Docker basics, model monitoring, and version control workflows."
20,NLP Engineer Intern,TextCraft,"Python,NLP,Machine Learning,LLM,Pandas,Scikit-learn",0-1,Remote,"Work on text classification, preprocessing, NLP datasets, LLM experiments, and model evaluation."